RACEDATE,PLACE,RACE,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,ST_AVG1,ST_AVG2,ST_AVG3,ST_AVG4,ST_AVG5,ST_AVG6,CLASS1,CLASS2,CLASS3,CLASS4,CLASS5,CLASS6,L1,L2,L3,L4,L5,L6,F1,F2,F3,F4,F5,F6,WIN1RATE1,WIN1RATE2,WIN1RATE3,WIN1RATE4,WIN1RATE5,WIN1RATE6,WIN2RATE1,WIN2RATE2,WIN2RATE3,WIN2RATE4,WIN2RATE5,WIN2RATE6,LOCALWIN1RATE1,LOCALWIN1RATE2,LOCALWIN1RATE3,LOCALWIN1RATE4,LOCALWIN1RATE5,LOCALWIN1RATE6,LOCALWIN2RATE1,LOCALWIN2RATE2,LOCALWIN2RATE3,LOCALWIN2RATE4,LOCALWIN2RATE5,LOCALWIN2RATE6,MOTORWIN2RATE1,MOTORWIN2RATE2,MOTORWIN2RATE3,MOTORWIN2RATE4,MOTORWIN2RATE5,MOTORWIN2RATE6,MOTORWIN3RATE1,MOTORWIN3RATE2,MOTORWIN3RATE3,MOTORWIN3RATE4,MOTORWIN3RATE5,MOTORWIN3RATE6,BOATWIN2RATE1,BOATWIN2RATE2,BOATWIN2RATE3,BOATWIN2RATE4,BOATWIN2RATE5,BOATWIN2RATE6,BOATWIN3RATE1,BOATWIN3RATE2,BOATWIN3RATE3,BOATWIN3RATE4,BOATWIN3RATE5,BOATWIN3RATE6,TAN,TANK,RENTAN2,RENTAN2K,RENTAN3,RENTAN3K
2025-04-30,下関,1,50,47,31,47,58,21,55.5,52.8,52,52,53.6,54.8,0.15,0.2,0.2,0.17,0.18,0.33,1,1,4,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,4.79,4.5,5.59,4.2,4.26,1.17,25.71,26.04,40.23,17.44,23.47,0,6,4.97,5.29,4.65,4.03,1.23,22.22,31,29.03,23.64,16.22,0,42.86,20,58.82,71.43,42.86,54.55,42.86,40,64.71,71.43,71.43,63.64,40,0,14.29,0,11.11,40,70,0,14.29,16.67,11.11,40,1,100,1>3,360,1>3>4,700
2025-04-30,下関,2,31,43,30,47,32,35,52.9,56,52.7,56,52.7,54.8,0.15,0.16,0.14,0.15,0.15,0.19,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2.74,4.64,4.54,3.16,5.01,4.71,14.81,26.61,18.81,9.46,29.21,21.36,1.9,5,4.15,4.33,4.05,3.42,6.9,31.87,19.09,20,11.11,12.9,20,57.14,11.11,27.27,36.36,11.11,50,57.14,22.22,54.55,72.73,11.11,40,50,50,10,40,57.14,60,75,62.5,20,70,85.71,2,320,2>1,1750,2>1>6,11200
2025-04-30,下関,3,39,37,33,45,36,49,52,52,52,52,52.5,52.6,0.16,0.22,0.18,0.16,0.13,0.15,1,1,1,3,1,4,0,0,0,0,0,0,1,0,0,0,0,0,4.7,3.51,4.48,6.27,5.1,6.18,27.27,14.81,26.04,46.21,33.67,46.55,5.38,4.21,4.06,6.79,4.98,6.39,37.5,19.44,25.71,51.22,34.55,47.83,40,57.14,50,57.14,71.43,41.18,60,85.71,62.5,71.43,71.43,47.06,42.86,20,25,62.5,57.14,7.14,71.43,26.67,25,87.5,71.43,28.57,3,1470,3>4,6750,3>4>1,22460
2025-04-30,下関,4,41,48,31,37,32,51,52.7,52,52.3,60.5,52,52.4,0.17,0.17,0.14,0.14,0.17,0.19,1,1,1,3,4,1,0,0,0,0,0,0,0,0,0,1,0,0,4.22,4,3.48,7.02,5.67,5.38,19.2,21.05,18.63,50.81,38.21,35,4.11,4.32,4.3,7.24,5.63,5.82,27.03,28.33,28.41,58.54,37.5,44.12,66.67,42.86,63.64,33.33,28.57,66.67,83.33,71.43,90.91,50,28.57,100,0,30,22.22,40,11.11,53.85,0,50,33.33,46.67,22.22,84.62,1,150,1>3,1620,1>3>6,5310
2025-04-30,下関,5,33,58,39,39,41,40,50.5,53.6,55.3,52.7,53.9,53.4,0.13,0.18,0.18,0.17,0.14,0.17,4,1,1,1,4,4,0,0,0,0,0,0,1,0,0,0,1,0,5.4,4.26,5.04,4.39,5.35,6,34.78,23.47,34.44,22.73,30.91,41.13,6.26,4.03,4.94,4.4,5.8,5.45,48,16.22,28.57,30,30,25,40,42.86,50,28.57,60,42.86,70,71.43,75,71.43,70,57.14,11.11,11.11,40,20,71.43,50,44.44,11.11,60,50,71.43,77.78,1,100,1>2,340,1>2>5,950
2025-04-30,下関,6,53,32,37,30,50,52,52.1,52.7,52,52.7,55.5,55.7,0.16,0.15,0.13,0.14,0.15,0.16,1,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,4.27,5.01,6.85,4.54,4.79,3.5,22.22,29.21,50.39,18.81,25.71,20.37,3.93,4.05,6.26,4.15,6,4.46,17.24,11.11,50,19.09,22.22,33.33,42.86,36.36,63.64,11.11,42.86,45.45,71.43,72.73,90.91,22.22,42.86,45.45,90,40,40,50,40,20,90,70,60,62.5,70,40,1,210,1>3,360,1>3>4,2130
2025-04-30,下関,7,58,47,28,36,21,52,52.1,56,54.5,52.5,54.8,52,0.16,0.15,0.17,0.13,0.33,0.16,4,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,6.05,3.16,5.25,5.1,1.17,6.7,37.84,9.46,35.19,33.67,0,51.43,4.9,4.33,5.08,4.98,1.23,0,30,20,32.65,34.55,0,0,0,27.27,43.75,71.43,54.55,50,0,54.55,68.75,71.43,63.64,80,42.86,10,63.64,57.14,40,71.43,71.43,20,90.91,71.43,40,71.43,3,350,3>4,1510,3>4>6,3350
2025-04-30,下関,8,32,47,26,39,33,31,52,52,58.2,56.3,52,52.9,0.17,0.17,0.18,0.16,0.18,0.15,4,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,5.67,4.2,3.98,4.11,4.48,2.74,38.21,17.44,19.39,16.81,26.04,14.81,5.63,4.65,4.25,3.89,4.06,1.9,37.5,23.64,22.89,15.79,25.71,6.9,28.57,71.43,76.92,30,50,20,28.57,71.43,76.92,50,62.5,50,11.11,0,57.14,0,25,40,22.22,16.67,57.14,0,25,60,1,150,1>4,510,1>4>2,1760
2025-04-30,下関,9,40,35,49,34,37,41,53.4,54.8,52.6,52.1,52,52.7,0.17,0.19,0.15,0.16,0.22,0.17,4,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,4.71,6.18,4.25,3.51,4.22,41.13,21.36,46.55,20,14.81,19.2,5.45,3.42,6.39,5.25,4.21,4.11,25,12.9,47.83,25,19.44,27.03,42.86,11.11,41.18,50,57.14,66.67,57.14,11.11,47.06,62.5,85.71,83.33,50,57.14,7.14,42.86,20,0,77.78,85.71,28.57,57.14,26.67,0,1,130,1>3,200,1>3>2,800
2025-04-30,下関,10,41,33,37,37,53,31,53.9,50.5,60.5,52,52.1,52,0.14,0.13,0.14,0.13,0.16,0.2,4,4,3,3,1,4,0,0,0,0,0,0,1,1,1,0,0,0,5.35,5.4,7.02,6.85,4.27,5.59,30.91,34.78,50.81,50.39,22.22,40.23,5.8,6.26,7.24,6.26,3.93,5.29,30,48,58.54,50,17.24,29.03,60,40,33.33,63.64,42.86,58.82,70,70,50,90.91,71.43,64.71,71.43,11.11,40,40,90,14.29,71.43,44.44,46.67,60,90,14.29,1,100,1>2,350,1>2>4,860
2025-04-30,下関,11,51,45,39,58,28,48,52.4,52,52,52.1,54.5,52,0.19,0.16,0.16,0.16,0.17,0.17,1,3,1,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,5.38,6.27,4.7,6.05,5.25,4,35,46.21,27.27,37.84,35.19,21.05,5.82,6.79,5.38,4.9,5.08,4.32,44.12,51.22,37.5,30,32.65,28.33,66.67,57.14,40,0,43.75,42.86,100,71.43,60,0,68.75,71.43,53.85,62.5,42.86,42.86,63.64,30,84.62,87.5,71.43,71.43,90.91,50,1,120,1>2,260,1>2>5,1030
2025-04-30,下関,12,28,40,44,51,40,40,52,52,52.7,53,54,52,0.15,0.14,0.16,0.16,0.12,0.16,3,3,3,4,3,4,0,0,0,0,0,0,0,1,1,0,0,0,6.32,6.66,6.39,5.28,6.66,6.3,42.74,44.14,50,35.42,47.73,43.44,6.92,7.52,6.37,0,7.33,5.53,53.61,59.86,47.37,0,61.9,35,22.22,0,10,25,50,37.5,33.33,0,20,50,80,43.75,30,25,0,42.86,58.33,6.67,50,37.5,0,71.43,58.33,20,1,100,1>2,280,1>2>3,520
2025-04-30,丸亀,1,46,32,49,41,39,21,57.1,52,47,59.6,52,48.1,0.15,0.17,0.21,0.18,0.22,0.22,1,1,1,1,1,2,0,0,0,0,0,0,1,0,0,0,1,2,5.24,5.09,3.56,3.34,4.98,1.5,32.93,32.41,16.36,11.96,27.06,0,5.24,0,0,4.91,5.08,1.57,28.57,0,0,27.27,15.38,0,26.97,29.41,21.74,33.13,27.08,28.67,41.45,49.26,36.96,50.63,44.44,43.33,31.05,25.68,29.83,27.03,26.6,41.33,47.89,40.44,49.17,47.03,43.09,54.08,1,110,1>5,1160,1>5>4,3800
2025-04-30,丸亀,2,36,22,57,23,36,29,51,53.4,48.1,52.5,52.8,54.4,0.17,0.16,0.19,0.15,0.14,0.19,1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,1,0,0,5.66,5.67,4.79,3.31,6.63,4.89,37.11,40.3,22.67,12.05,48.78,30.37,5.15,0,4,2.56,5.79,0,42.31,0,11.76,11.11,44.12,0,31.25,21.32,30.77,34.46,29.25,43.66,45.14,36.03,48.25,52.03,48.98,64.08,35.05,36.41,30.53,35.47,27.57,32.46,54.12,47.18,44.74,50.25,43.24,51.83,1,190,1>5,340,1>5>6,1170
2025-04-30,丸亀,3,37,47,38,21,26,29,53.5,52.5,52,52,52.2,52,0.17,0.18,0.18,0.15,0.18,0.16,1,1,1,4,1,3,0,1,0,0,0,0,0,0,0,0,0,1,4.16,3.65,4.27,6.01,3.55,6.84,23.58,16.87,20,39.56,11.76,55.36,4.27,3.83,4.74,4.09,0,6,24.32,5.56,15.79,16.25,0,42.86,32,40.4,46.32,44.44,28.46,25.17,45.33,58.28,63.24,60.42,39.23,44.06,30.89,34.02,34.02,38.89,27.37,37.37,52.88,52.58,48.97,53.03,43.02,51.52,2,970,2>4,2070,2>4>6,4990
